mode,threads,preset,cpu1_us,io_us,cpu2_us,connections,duration,wrk_threads,reps,successful_runs,best_runtime_s,avg_runtime_s,best_requests_sec,avg_requests_sec,best_latency_avg,avg_latency_avg,run_logs_dir
coro,8,p4_io_heavy_high_conc,100,10000,100,64,12s,4,3,3,12.010000,12.016667,5989.850000,5985.963333,10.540000,10.546667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/coro_t8_p4_io_heavy_high_conc
coro,8,p5_stress_mix,600,3000,600,96,12s,4,3,3,12.010000,12.010000,6191.180000,6186.750000,15.360000,15.366667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/coro_t8_p5_stress_mix
coro,8,p6_ultra_io_bound,50,20000,50,64,12s,4,3,3,12.010000,12.016667,3105.500000,3103.693333,20.420000,20.426667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/coro_t8_p6_ultra_io_bound
ws,8,p1_light_cpu_heavy_io,100,8000,100,16,8s,4,3,3,8.010000,8.070000,959.890000,956.660000,16.350000,16.420000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/ws_t8_p1_light_cpu_heavy_io
ws,8,p2_balanced,200,5000,200,32,10s,4,3,3,10.000000,10.006667,1448.180000,1447.980000,21.920000,22.120000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/ws_t8_p2_balanced
ws,8,p3_cpu_heavy,1200,200,1200,32,10s,4,3,3,10.000000,10.006667,2969.040000,2968.580000,10.620000,10.700000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/ws_t8_p3_cpu_heavy
ws,8,p4_io_heavy_high_conc,100,10000,100,64,12s,4,3,3,12.020000,12.030000,773.530000,773.163333,82.210000,82.216667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/ws_t8_p4_io_heavy_high_conc
ws,8,p5_stress_mix,600,3000,600,96,12s,4,3,3,12.020000,12.020000,1850.230000,1847.760000,51.540000,51.610000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/ws_t8_p5_stress_mix
ws,8,p6_ultra_io_bound,50,20000,50,64,12s,4,3,3,12.020000,12.023333,394.760000,394.673333,160.660000,160.690000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/ws_t8_p6_ultra_io_bound
elastic,8,p1_light_cpu_heavy_io,100,8000,100,16,8s,4,3,3,8.000000,8.006667,1863.190000,1859.400000,8.400000,8.406667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/elastic_t8_p1_light_cpu_heavy_io
elastic,8,p2_balanced,200,5000,200,32,10s,4,3,3,10.010000,10.040000,2893.860000,2888.486667,10.880000,10.893333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/elastic_t8_p2_balanced
elastic,8,p3_cpu_heavy,1200,200,1200,32,10s,4,3,3,10.000000,10.006667,5939.020000,5813.966667,5.240000,5.376667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/elastic_t8_p3_cpu_heavy
elastic,8,p4_io_heavy_high_conc,100,10000,100,64,12s,4,3,3,12.020000,12.023333,1545.570000,1545.240000,41.060000,41.093333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/elastic_t8_p4_io_heavy_high_conc
elastic,8,p5_stress_mix,600,3000,600,96,12s,4,3,3,12.020000,12.020000,3699.520000,3696.986667,25.710000,25.750000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/elastic_t8_p5_stress_mix
elastic,8,p6_ultra_io_bound,50,20000,50,64,12s,4,3,3,12.020000,12.020000,789.280000,788.910000,80.540000,80.566667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/elastic_t8_p6_ultra_io_bound
advws,8,p1_light_cpu_heavy_io,100,8000,100,16,8s,4,3,3,8.000000,8.006667,1864.370000,1859.933333,8.400000,8.406667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/advws_t8_p1_light_cpu_heavy_io
advws,8,p2_balanced,200,5000,200,32,10s,4,3,3,10.010000,10.010000,2893.000000,2892.530000,11.010000,11.106667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/advws_t8_p2_balanced
advws,8,p3_cpu_heavy,1200,200,1200,32,10s,4,3,3,10.000000,10.000000,5937.440000,5936.263333,5.270000,5.423333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/advws_t8_p3_cpu_heavy
advws,8,p4_io_heavy_high_conc,100,10000,100,64,12s,4,3,3,12.020000,12.026667,1546.430000,1546.016667,41.010000,41.076667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/advws_t8_p4_io_heavy_high_conc
advws,8,p5_stress_mix,600,3000,600,96,12s,4,3,3,12.020000,12.020000,3701.570000,3695.996667,25.800000,26.386667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/advws_t8_p5_stress_mix
advws,8,p6_ultra_io_bound,50,20000,50,64,12s,4,3,3,12.020000,12.023333,789.140000,788.886667,80.420000,80.513333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/advws_t8_p6_ultra_io_bound
classic,16,p1_light_cpu_heavy_io,100,8000,100,16,8s,4,3,3,8.010000,8.010000,1861.850000,1860.376667,8.400000,8.403333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t16_p1_light_cpu_heavy_io
classic,16,p2_balanced,200,5000,200,32,10s,4,3,3,10.000000,10.006667,2894.000000,2893.246667,10.840000,10.860000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/classic_t16_p2_balanced
