workload,pool,trial,command,threads,warmup,reps,matrix_n,matrix_bs,fib_n,fib_tasks,fib_split_threshold,fib_single_n,fib_single_split_threshold,fib_fast_n,fib_fast_tasks,throughput_tasks_per_s,latency_p50_s,latency_p95_s,latency_p99_s,cpu_pct,perf_context_switches,perf_cpu_migrations,max_rss_kb,avg_rss_kb,elapsed_s,user_s,sys_s
fib_single,ws,5,/home/rjahangir/Concurrency_in_Cpp/build/fib_single_bench ws 44 8 1 3 30,8,1,3,NA,NA,NA,NA,NA,44,30,NA,NA,2405.280070811,0.000415869,0.000418816,0.000419078,114,204,0,14364,0,0.04,0.03,0.01
fib_single,elastic,1,/home/rjahangir/Concurrency_in_Cpp/build/fib_single_bench elastic 44 8 1 3 30,8,1,3,NA,NA,NA,NA,NA,44,30,NA,NA,525.621415919,0.001923210,0.001933542,0.001934460,193,5760,0,14364,0,0.04,0.04,0.04
fib_single,elastic,2,/home/rjahangir/Concurrency_in_Cpp/build/fib_single_bench elastic 44 8 1 3 30,8,1,3,NA,NA,NA,NA,NA,44,30,NA,NA,456.362607473,0.002192750,0.002198168,0.002198650,206,7729,3,14264,0,0.04,0.05,0.04
fib_single,elastic,3,/home/rjahangir/Concurrency_in_Cpp/build/fib_single_bench elastic 44 8 1 3 30,8,1,3,NA,NA,NA,NA,NA,44,30,NA,NA,523.461546515,0.001915720,0.001951522,0.001954704,187,6391,2,14224,0,0.04,0.04,0.03
fib_single,elastic,4,/home/rjahangir/Concurrency_in_Cpp/build/fib_single_bench elastic 44 8 1 3 30,8,1,3,NA,NA,NA,NA,NA,44,30,NA,NA,536.204529856,0.001866850,0.001869442,0.001869672,189,6633,0,14160,0,0.04,0.04,0.04
fib_single,elastic,5,/home/rjahangir/Concurrency_in_Cpp/build/fib_single_bench elastic 44 8 1 3 30,8,1,3,NA,NA,NA,NA,NA,44,30,NA,NA,515.737737046,0.001943400,0.001955127,0.001956169,193,6019,0,14548,0,0.04,0.04,0.04
fib_single,advws,1,/home/rjahangir/Concurrency_in_Cpp/build/fib_single_bench advws 44 8 1 3 30,8,1,3,NA,NA,NA,NA,NA,44,30,NA,NA,2575.109506532,0.000383952,0.000413681,0.000416323,117,200,0,14300,0,0.04,0.04,0.00
fib_single,advws,2,/home/rjahangir/Concurrency_in_Cpp/build/fib_single_bench advws 44 8 1 3 30,8,1,3,NA,NA,NA,NA,NA,44,30,NA,NA,2065.539570574,0.000424726,0.000599111,0.000614612,111,252,0,14432,0,0.04,0.03,0.01
fib_single,advws,3,/home/rjahangir/Concurrency_in_Cpp/build/fib_single_bench advws 44 8 1 3 30,8,1,3,NA,NA,NA,NA,NA,44,30,NA,NA,1906.210624837,0.000551104,0.000628410,0.000635282,119,339,0,14436,0,0.04,0.04,0.00
fib_single,advws,4,/home/rjahangir/Concurrency_in_Cpp/build/fib_single_bench advws 44 8 1 3 30,8,1,3,NA,NA,NA,NA,NA,44,30,NA,NA,1287.387337516,0.000445836,0.001373749,0.001456230,114,256,0,14340,0,0.04,0.04,0.00
fib_single,advws,5,/home/rjahangir/Concurrency_in_Cpp/build/fib_single_bench advws 44 8 1 3 30,8,1,3,NA,NA,NA,NA,NA,44,30,NA,NA,2306.746541610,0.000439562,0.000484016,0.000487967,117,266,0,14300,0,0.04,0.02,0.01
fib_fast,classic,1,/home/rjahangir/Concurrency_in_Cpp/build/fib_fast_bench classic 90 8 1 3 8,8,1,3,NA,NA,NA,NA,NA,NA,NA,90,8,251377.075039199,0.000033589,0.000035407,0.000035569,102,57,0,14240,0,0.03,0.04,0.00
fib_fast,classic,2,/home/rjahangir/Concurrency_in_Cpp/build/fib_fast_bench classic 90 8 1 3 8,8,1,3,NA,NA,NA,NA,NA,NA,NA,90,8,160260.583709111,0.000037254,0.000073031,0.000076211,100,64,0,14320,0,0.03,0.03,0.00
fib_fast,classic,3,/home/rjahangir/Concurrency_in_Cpp/build/fib_fast_bench classic 90 8 1 3 8,8,1,3,NA,NA,NA,NA,NA,NA,NA,90,8,191993.856196602,0.000041484,0.000043499,0.000043678,100,59,0,14172,0,0.04,0.02,0.01
fib_fast,classic,4,/home/rjahangir/Concurrency_in_Cpp/build/fib_fast_bench classic 90 8 1 3 8,8,1,3,NA,NA,NA,NA,NA,NA,NA,90,8,252756.626962813,0.000035902,0.000036424,0.000036470,102,54,0,14240,0,0.03,0.03,0.00
fib_fast,classic,5,/home/rjahangir/Concurrency_in_Cpp/build/fib_fast_bench classic 90 8 1 3 8,8,1,3,NA,NA,NA,NA,NA,NA,NA,90,8,221428.769132830,0.000040045,0.000043670,0.000043992,102,57,0,14044,0,0.03,0.03,0.00
fib_fast,ws,1,/home/rjahangir/Concurrency_in_Cpp/build/fib_fast_bench ws 90 8 1 3 8,8,1,3,NA,NA,NA,NA,NA,NA,NA,90,8,199980.001999800,0.000037029,0.000046652,0.000047507,97,61,0,14264,0,0.04,0.03,0.00
fib_fast,ws,2,/home/rjahangir/Concurrency_in_Cpp/build/fib_fast_bench ws 90 8 1 3 8,8,1,3,NA,NA,NA,NA,NA,NA,NA,90,8,257499.678125402,0.000029804,0.000039037,0.000039858,60,52,0,14288,0,0.06,0.03,0.00
fib_fast,ws,3,/home/rjahangir/Concurrency_in_Cpp/build/fib_fast_bench ws 90 8 1 3 8,8,1,3,NA,NA,NA,NA,NA,NA,NA,90,8,181018.819168988,0.000038412,0.000055435,0.000056949,102,56,0,14288,0,0.03,0.03,0.00
fib_fast,ws,4,/home/rjahangir/Concurrency_in_Cpp/build/fib_fast_bench ws 90 8 1 3 8,8,1,3,NA,NA,NA,NA,NA,NA,NA,90,8,162777.968815811,0.000048773,0.000055764,0.000056386,97,59,0,14348,0,0.04,0.03,0.00
fib_fast,ws,5,/home/rjahangir/Concurrency_in_Cpp/build/fib_fast_bench ws 90 8 1 3 8,8,1,3,NA,NA,NA,NA,NA,NA,NA,90,8,235157.864413854,0.000035967,0.000038229,0.000038430,100,62,0,14188,0,0.03,0.03,0.00
fib_fast,elastic,1,/home/rjahangir/Concurrency_in_Cpp/build/fib_fast_bench elastic 90 8 1 3 8,8,1,3,NA,NA,NA,NA,NA,NA,NA,90,8,165627.012109405,0.000043246,0.000064586,0.000066483,102,66,2,14424,0,0.03,0.03,0.00
fib_fast,elastic,2,/home/rjahangir/Concurrency_in_Cpp/build/fib_fast_bench elastic 90 8 1 3 8,8,1,3,NA,NA,NA,NA,NA,NA,NA,90,8,224133.583615835,0.000035174,0.000038176,0.000038443,100,55,0,14148,0,0.03,0.03,0.00
fib_fast,elastic,3,/home/rjahangir/Concurrency_in_Cpp/build/fib_fast_bench elastic 90 8 1 3 8,8,1,3,NA,NA,NA,NA,NA,NA,NA,90,8,123395.282906823,0.000042965,0.000110145,0.000116117,61,64,0,14460,0,0.06,0.03,0.00
fib_fast,elastic,4,/home/rjahangir/Concurrency_in_Cpp/build/fib_fast_bench elastic 90 8 1 3 8,8,1,3,NA,NA,NA,NA,NA,NA,NA,90,8,215411.044662787,0.000036595,0.000038304,0.000038456,95,58,0,14116,0,0.04,0.03,0.00
fib_fast,elastic,5,/home/rjahangir/Concurrency_in_Cpp/build/fib_fast_bench elastic 90 8 1 3 8,8,1,3,NA,NA,NA,NA,NA,NA,NA,90,8,134029.617194660,0.000035533,0.000102239,0.000108169,100,63,0,14352,0,0.03,0.03,0.00
fib_fast,advws,1,/home/rjahangir/Concurrency_in_Cpp/build/fib_fast_bench advws 90 8 1 3 8,8,1,3,NA,NA,NA,NA,NA,NA,NA,90,8,260928.841443328,0.000035940,0.000039560,0.000039882,97,51,0,14380,0,0.04,0.02,0.01
fib_fast,advws,2,/home/rjahangir/Concurrency_in_Cpp/build/fib_fast_bench advws 90 8 1 3 8,8,1,3,NA,NA,NA,NA,NA,NA,NA,90,8,130206.849856854,0.000052033,0.000081842,0.000084492,102,60,0,14192,0,0.03,0.02,0.01
fib_fast,advws,3,/home/rjahangir/Concurrency_in_Cpp/build/fib_fast_bench advws 90 8 1 3 8,8,1,3,NA,NA,NA,NA,NA,NA,NA,90,8,169859.674676258,0.000038140,0.000064226,0.000066544,100,58,0,14348,0,0.04,0.03,0.00
fib_fast,advws,4,/home/rjahangir/Concurrency_in_Cpp/build/fib_fast_bench advws 90 8 1 3 8,8,1,3,NA,NA,NA,NA,NA,NA,NA,90,8,156789.883916690,0.000050196,0.000054956,0.000055379,102,55,0,14348,0,0.03,0.03,0.00
fib_fast,advws,5,/home/rjahangir/Concurrency_in_Cpp/build/fib_fast_bench advws 90 8 1 3 8,8,1,3,NA,NA,NA,NA,NA,NA,NA,90,8,135643.109414819,0.000037848,0.000103859,0.000109726,100,81,0,14436,0,0.04,0.03,0.00
