mode,threads,preset,cpu1_mm,io_us,cpu2_mm,mm_n,mm_bs,connections,duration,wrk_threads,reps,successful_runs,best_runtime_s,avg_runtime_s,best_requests_sec,avg_requests_sec,best_latency_avg,avg_latency_avg,run_logs_dir
advws,1,p2_balanced,2,5000,2,256,32,32,10s,4,3,3,10.010000,10.016667,38.260000,37.753333,799.920000,811.406667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/advws_t1_p2_balanced
advws,1,p3_cpu_heavy,3,200,3,256,32,32,10s,4,3,3,10.020000,10.020000,27.770000,27.666667,1.080000,1.090000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/advws_t1_p3_cpu_heavy
advws,1,p4_io_heavy_high_conc,1,10000,1,256,32,64,12s,4,3,3,12.020000,12.030000,59.070000,58.976667,1.030000,1.033333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/advws_t1_p4_io_heavy_high_conc
advws,1,p5_stress_mix,2,3000,2,256,32,96,12s,4,3,3,12.040000,12.040000,39.740000,39.243333,2.170000,2.196667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/advws_t1_p5_stress_mix
advws,1,p6_ultra_io_bound,1,20000,1,256,32,64,12s,4,3,3,12.030000,12.033333,45.570000,45.373333,1.320000,1.326667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/advws_t1_p6_ultra_io_bound
classic,2,p1_light_cpu_heavy_io,1,8000,1,256,32,16,8s,4,3,3,8.010000,8.010000,62.700000,62.596667,250.830000,251.313333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t2_p1_light_cpu_heavy_io
classic,2,p2_balanced,2,5000,2,256,32,32,10s,4,3,3,10.010000,10.016667,38.350000,37.620000,798.940000,814.930000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t2_p2_balanced
classic,2,p3_cpu_heavy,3,200,3,256,32,32,10s,4,3,3,10.020000,10.020000,28.170000,28.030000,1.070000,1.076667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t2_p3_cpu_heavy
classic,2,p4_io_heavy_high_conc,1,10000,1,256,32,64,12s,4,3,3,12.030000,12.036667,58.520000,58.443333,1.040000,1.043333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t2_p4_io_heavy_high_conc
classic,2,p5_stress_mix,2,3000,2,256,32,96,12s,4,3,3,12.030000,12.040000,39.770000,39.716667,2.170000,2.170000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t2_p5_stress_mix
classic,2,p6_ultra_io_bound,1,20000,1,256,32,64,12s,4,3,3,12.030000,12.033333,45.570000,45.320000,1.320000,1.326667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t2_p6_ultra_io_bound
coro,2,p1_light_cpu_heavy_io,1,8000,1,256,32,16,8s,4,3,3,8.010000,8.010000,83.920000,83.816667,188.550000,189.026667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t2_p1_light_cpu_heavy_io
coro,2,p2_balanced,2,5000,2,256,32,32,10s,4,3,3,10.010000,10.016667,41.550000,41.543333,742.670000,748.140000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t2_p2_balanced
coro,2,p3_cpu_heavy,3,200,3,256,32,32,10s,4,3,3,10.020000,10.020000,27.660000,27.493333,1.100000,1.103333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t2_p3_cpu_heavy
coro,2,p4_io_heavy_high_conc,1,10000,1,256,32,64,12s,4,3,3,12.030000,12.033333,84.060000,83.073333,743.560000,747.586667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t2_p4_io_heavy_high_conc
coro,2,p5_stress_mix,2,3000,2,256,32,96,12s,4,3,3,12.030000,12.030000,39.930000,39.920000,2.150000,2.160000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t2_p5_stress_mix
coro,2,p6_ultra_io_bound,1,20000,1,256,32,64,12s,4,3,3,12.030000,12.030000,83.700000,82.980000,745.220000,748.056667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t2_p6_ultra_io_bound
ws,2,p1_light_cpu_heavy_io,1,8000,1,256,32,16,8s,4,3,3,8.010000,8.010000,62.920000,62.466667,250.110000,251.650000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p1_light_cpu_heavy_io
ws,2,p2_balanced,2,5000,2,256,32,32,10s,4,3,3,10.020000,10.020000,38.340000,37.586667,799.200000,815.443333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p2_balanced
ws,2,p3_cpu_heavy,3,200,3,256,32,32,10s,4,3,3,10.010000,10.016667,28.170000,27.806667,1.070000,1.083333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p3_cpu_heavy
ws,2,p4_io_heavy_high_conc,1,10000,1,256,32,64,12s,4,3,3,12.030000,12.030000,59.060000,58.883333,1.030000,1.033333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p4_io_heavy_high_conc
ws,2,p5_stress_mix,2,3000,2,256,32,96,12s,4,3,3,12.040000,12.040000,39.760000,39.533333,2.170000,2.180000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p5_stress_mix
ws,2,p6_ultra_io_bound,1,20000,1,256,32,64,12s,4,3,3,12.030000,12.030000,45.570000,45.350000,1.320000,1.326667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/ws_t2_p6_ultra_io_bound
