"bench","preset","mode","fib_n","threads","warmup","reps","tasks","split_threshold","exit_code","bench_best_s","bench_avg_s","time_elapsed_s","time_elapsed_raw","time_user_s","time_sys_s","time_cpu_pct","time_max_rss_kb","time_voluntary_cs","time_involuntary_cs","time_minor_pf","time_major_pf","perf_available","perf_task_clock","perf_context_switches","perf_cpu_migrations","perf_page_faults","perf_cycles","perf_instructions","perf_branches","perf_branch_misses","perf_cache_references","perf_cache_misses","bench_log","time_log","perf_log"
"fib_single_bench","fs_heavy","advws","65","2","1","3","0","60","0","5.907e-05","7.5385e-05","0.020000","0:00.02","0.01","0.01","100%","12416","25","1","1535","0","1","2.90","14","0","144","4581765","4553582","718010","30696","71272","12932","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_single_bench_advws_fs_heavy.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_single_bench_advws_fs_heavy.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_single_bench_advws_fs_heavy.log"
"fib_fast_bench","ff_light","advws","90","2","1","3","2","0","0","7.855e-06","0.00010245","0.020000","0:00.02","0.00","0.01","100%","12544","25","2","1533","0","1","3.53","15","1","146","5877969","5561972","786810","34602","93331","14899","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_fast_bench_advws_ff_light.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_fast_bench_advws_ff_light.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_fast_bench_advws_ff_light.log"
"fib_fast_bench","ff_mid","advws","93","2","1","3","2","0","0","4.5962e-05","6.2412e-05","0.020000","0:00.02","0.00","0.01","100%","12544","27","1","1532","0","1","3.61","16","0","144","4875645","3879410","860840","33159","99732","13866","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_fast_bench_advws_ff_mid.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_fast_bench_advws_ff_mid.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_fast_bench_advws_ff_mid.log"
"fib_fast_bench","ff_heavy","advws","93","2","1","3","8","0","0","4.3318e-05","4.58833e-05","0.020000","0:00.02","0.00","0.01","100%","12416","26","1","1524","0","1","3.00","15","0","138","5062363","4976816","707609","29693","72766","13059","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_fast_bench_advws_ff_heavy.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_fast_bench_advws_ff_heavy.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_fast_bench_advws_ff_heavy.log"
"fib_bench","fb_light","classic","52","4","1","3","4","46","0","3.1575e-05","4.71587e-05","0.040000","0:00.04","0.00","0.01","52%","12416","33","0","1527","0","1","3.86","21","1","147","5149996","4811794","803443","35415","98060","14111","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_bench_classic_fb_light.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_bench_classic_fb_light.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_bench_classic_fb_light.log"
"fib_bench","fb_mid","classic","60","4","1","3","4","54","0","3.8985e-05","7.86817e-05","0.020000","0:00.02","0.00","0.01","100%","12416","33","1","1540","0","1","4.15","22","1","149","6283762","5521883","922023","36335","103303","14548","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_bench_classic_fb_mid.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_bench_classic_fb_mid.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_bench_classic_fb_mid.log"
"fib_bench","fb_heavy","classic","65","4","1","3","8","60","0","5.5337e-05","7.3471e-05","0.020000","0:00.02","0.00","0.01","104%","12416","39","0","1539","0","1","3.58","30","1","150","8357932","5566103","906687","35685","102741","13502","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_bench_classic_fb_heavy.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_bench_classic_fb_heavy.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_bench_classic_fb_heavy.log"
"fib_single_bench","fs_light","classic","54","4","1","3","0","48","0","0.000108012","0.000156056","0.020000","0:00.02","0.01","0.01","109%","12544","55","0","1542","0","1","3.98","44","0","152","6029082","6779864","898506","37802","127806","14417","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_single_bench_classic_fs_light.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_single_bench_classic_fs_light.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_single_bench_classic_fs_light.log"
"fib_single_bench","fs_mid","classic","60","4","1","3","0","54","0","9.4878e-05","0.000169428","0.020000","0:00.02","0.00","0.01","100%","12416","48","1","1540","0","1","3.63","37","1","149","8469629","4719291","810252","36822","115012","13719","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_single_bench_classic_fs_mid.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_single_bench_classic_fs_mid.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_single_bench_classic_fs_mid.log"
"fib_single_bench","fs_heavy","classic","65","4","1","3","0","60","0","4.7347e-05","5.7956e-05","0.020000","0:00.02","0.00","0.01","95%","12288","43","1","1537","0","1","3.90","32","2","152","6055409","4654989","840448","37062","113369","14110","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/bench_fib_single_bench_classic_fs_heavy.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/time_fib_single_bench_classic_fs_heavy.log","/users/Ahnaf005/Concurrency_in_Cpp/results/fib_perf_20260303_000544/perf_fib_single_bench_classic_fs_heavy.log"
